ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AE,2019,5.24,2.28,2523.38,2310.22,0.00,25.97,11.1427,43103.32,2.03,NA,1.649,0.765,0.360,4.370,43470,NA,NA,NA,NA,NA,NA,6.71
AF,2019,5.96,10.98,NA,NA,NA,NA,NA,469.92,0.01,54.50,0.231,0.296,NA,0.098,530,NA,NA,NA,NA,NA,54.50,2.38
AM,2019,2.66,18.81,209.79,178.57,0.15,29.88,14.9867,4622.73,3.77,26.40,3.840,0.788,0.274,11.245,4680,NA,NA,NA,NA,NA,26.40,NA
AZ,2019,3.97,4.84,321.08,266.26,0.00,26.55,11.6495,4781.95,1.38,6.00,3.452,1.165,0.114,6.717,4490,NA,NA,NA,NA,NA,6.00,5.17
BD,2019,3.85,4.22,118.26,94.60,3.13,32.39,17.1839,1846.42,0.00,24.30,0.130,0.124,NA,0.873,1940,NA,NA,NA,NA,NA,24.30,5.11
BH,2019,7.20,1.56,NA,NA,NA,NA,NA,23503.98,1.18,NA,5.467,1.239,1.458,27.918,22170,NA,NA,NA,NA,NA,NA,NA
BN,2019,2.54,6.92,NA,NA,NA,NA,NA,31086.33,0.69,NA,1.197,5.029,0.239,15.088,32230,NA,NA,NA,NA,NA,NA,NA
BT,2019,5.07,2.27,265.79,203.87,0.29,37.44,23.2309,3360.62,0.07,8.20,0.508,NA,NA,0.127,3140,NA,NA,NA,NA,NA,8.20,NA
CN,2019,6.67,4.60,353.84,0.00,0.12,38.48,24.4178,10003.56,4.48,0.60,2.199,NA,NA,5.423,10390,NA,NA,NA,NA,NA,0.60,5.14
CY,2019,3.18,7.07,1405.44,1135.67,0.00,32.74,18.1607,28284.91,9.59,14.70,NA,NA,0.000,34.970,27930,NA,NA,NA,NA,NA,14.70,6.14
